transaction_amount,transaction_time,customer_age,customer_balance
46.926809,55817,43,9143.802446
301.0121431,9356,60,3126.627558
131.6745694,33099,33,4316.836831
91.29425538,3190,18,4235.945356
16.96248705,13332,49,5491.237144
16.95962919,10632,22,5877.229789
5.983876861,64311,39,1282.623135
201.1230864,56162,40,6603.838527
91.90821536,64030,36,5163.955017
123.1250062,54971,18,6605.003667
2.0799308,84060,31,6995.61541
350.3557475,10093,19,2075.703373
178.6429543,12386,39,5462.883353
23.86876252,34244,26,1378.275659
20.06789887,15426,18,7743.108815
20.26114228,5172,42,6859.129764
36.27537295,2971,22,3458.266673
74.39278309,13809,36,4549.353503
56.55370668,82323,27,3799.280653
34.42229926,45887,43,7204.796144
94.63708739,38073,43,3450.72948
15.02345287,78481,37,2398.329845
34.5515512,28420,33,2291.203625
45.62772182,11014,30,4189.966414
60.89346879,64052,22,2956.226277
153.7936011,15129,29,3781.428623
22.27358621,66852,39,8389.943949
72.2029155,72466,54,1996.288378
89.75047213,12252,40,5582.428687
4.756384976,12156,42,7060.753841
93.53330206,2822,33,3419.495428
18.6961252,75441,40,5923.254856
6.726393088,50261,18,4156.027563
297.3687794,58244,27,6463.335965
337.0630342,36405,42,2652.483744
165.2331573,33075,42,5328.698521
36.328786,40111,29,2127.28535
10.2777315,76143,21,6626.501595
115.2750763,84810,34,4079.905076
58.00908426,72048,30,10940.35645
13.0152234,21788,44,2505.225953
68.35472281,43363,42,4126.259756
3.499372144,14589,50,5807.707676
240.0422887,44369,46,4653.408304
29.94577768,64218,32,2451.153994
108.6255799,44578,38,4351.203621
37.35465817,55246,55,3423.669398
73.41108959,10762,30,5028.820427
79.1223798,26876,36,8318.35495
20.43885995,75473,34,3202.181065
349.2807133,38303,35,8532.942691
149.2245377,57730,26,4783.471259
280.5094419,62804,48,3095.985652
225.2151998,66736,25,5654.373764
91.10544124,42296,53,5867.783783
254.9435379,82196,51,6991.158687
9.265545895,70636,37,8792.608268
21.81346946,9022,35,5020.122706
4.628196569,8049,27,6074.979674
39.35320868,61062,35,5802.606467
49.21302918,34509,45,1087.53165
31.65604432,43258,28,5364.188446
176.4557865,32818,49,8668.383858
44.12269995,46007,45,5824.539295
32.98028401,58553,33,850.4178494
78.24070832,343,42,6591.645087
15.18981478,78175,25,9640.040167
162.0483596,76065,33,3262.324893
7.747586881,82341,57,4891.661231
433.414634,82045,46,3634.307156
147.9483776,21145,39,1290.116205
22.15394405,72502,35,3046.858232
0.553742038,72660,34,6045.360476
168.9896777,71928,34,7668.377821
122.7095907,353,27,4495.898482
130.5662909,973,41,686.4707297
147.5214526,17493,45,4550.080689
7.692926551,749,32,4026.115944
44.38926724,85464,39,7503.482371
12.31501046,26267,27,6779.776032
198.8529572,18760,34,6627.238622
97.63011917,50338,26,5637.091637
40.18188013,83562,32,4355.692636
6.56680658,12351,36,3609.67832
37.24883504,13013,41,6415.293628
39.33142132,24967,28,8116.7277
130.7875784,30602,39,1238.071641
101.4889359,28323,25,2399.550122
218.2251912,85648,38,6858.698458
63.90661334,64690,57,2420.979694
12.73723936,6121,31,4387.312893
124.9126344,8464,21,3103.958692
143.0392753,30125,43,3883.076598
82.38874949,12509,37,8418.956409
147.3889967,15901,39,184.607095
68.08147315,62869,47,550.5215564
73.96788388,24944,27,8679.580299
55.78141939,6632,28,5734.179582
2.574777399,54934,40,5941.322722
11.41674352,33292,45,8062.067919
3.193368129,69490,37,6605.221784
101.1729551,53090,34,4659.870604
37.73967088,60181,38,8386.196732
71.04371771,18558,42,5600.01657
238.126553,18140,20,8009.290285
28.6738823,19309,25,2581.974031
52.82819749,63023,34,4160.68271
140.8749148,11841,41,2412.346655
25.98051569,46082,56,4263.23601
8.010427855,16609,33,2789.84182
34.21403039,28080,37,3837.788507
